,best_model_all,state
847,Beat it,AC
323,GHR Model,AL
855,Beat it,AM
751,"Model fourier-
 gravidade",AP
439,Imperial-TFT Model,BA
131,Chronos-Bolt,CE
551,LSTM-RF model,DF
347,GHR Model,GO
351,GHR Model,MA
1535,Dengue oracle M2,MG
151,Chronos-Bolt,MS
1543,Dengue oracle M2,MT
1439,Dengue Oracle M1,PA
1767,Cornell PEH,PB
1123,LNCC-AR_p-1,PE
1127,LNCC-AR_p-1,PI
1455,Dengue Oracle M1,PR
1567,Dengue oracle M2,RJ
391,GHR Model,RN
1143,LNCC-AR_p-1,RO
503,Imperial-TFT Model,RR
615,LSTM-RF model,RS
1155,LNCC-AR_p-1,SC
1051,CNNLSTM,SE
1379,LNCC-SURGE-1,SP
1167,LNCC-AR_p-1,TO
