,state,model,lower_90,pred,upper_90,rho
0,AC,"Model fourier-
gravidade",11727.094374126962,29616.081694577,89764.36844455524,0.9450036002058294
1,AC,Dengue Oracle M1,17599.83316708439,44341.50189219834,120449.39358332763,0.9450036002058294
2,AC,GHR Model,11123.167904322803,25851.24089733831,65064.17197973581,0.9450036002058294
3,AC,LNCC-SURGE-1,12741.9974786331,33730.01780277585,91136.61083930917,0.9450036002058294
4,AC,IMPA-TECH,10787.797488258073,69911.51746222851,589781.617294402,0.9450036002058294
5,AC,CNNLSTM,17366.501140034743,23490.682744987,32497.622469035872,0.9450036002058294
6,AC,LNN-AR_p-1,8911.704758526559,17388.9226249521,35829.095968662536,0.9450036002058294
7,AC,Imperial-TFT Model,4625.459599481558,11941.501694471051,34529.27127896086,0.9450036002058294
8,AC,UERJ-SARIMAX-2,9787.961884626107,20863.261307272038,47507.956600377176,0.9450036002058294
9,AC,Cornell PEH,5023.146656627506,15840.540814772812,60782.99762368277,0.9450036002058294
10,AC,Dengue oracle M2,20065.861926770074,44518.1221513186,103713.13068890446,0.9450036002058294
11,AC,LSTM-RF model,14265.016335212853,52321.352892998424,362052.2083238105,0.9450036002058294
12,AC,LNCC-CLIDENGO-1,7508.494992562673,29131.505472302233,114301.73469238478,0.9450036002058294
13,AC,Beat it,7729.8316532929375,18271.06184475412,45099.21101971088,0.9450036002058294
14,AC,ISI_Dengue_Model,8870.927607561693,13420.284623499949,26621.422287180783,0.9450036002058294
15,AC,TSMixer ZKI-PH4,14435.12736302678,22449.678127576706,39655.61354589821,0.9450036002058294
16,AC,Chronos-Bolt,4835.348933748753,9899.891883521996,22777.261267643487,0.9450036002058294
17,MA,"Model fourier-
gravidade",4327.163128660377,20571.594842213515,119360.52325796004,0.9378789634579978
18,MA,Dengue Oracle M1,22408.82598985997,36866.262392569515,63515.38127740938,0.9378789634579978
19,MA,GHR Model,11667.472668846276,19062.684192025466,32665.624721671742,0.9378789634579978
20,MA,LNCC-SURGE-1,9490.329778576595,18353.219865048322,36913.899286771724,0.9378789634579978
21,MA,IMPA-TECH,16314.772900518683,66410.90153994386,370497.83033166715,0.9378789634579978
