state,inc_pred,inc,inc_mean,pred,casos,casos_mean
PR,656.9621865563828,1025.6104506977576,1203.2949770670036,77683,121275,142285
RS,672.0076711125217,807.5395049739914,217.99986909963255,75465,90686,24481
SC,689.8434216883014,398.091888989446,664.4759203424087,55590,32080,53546
ES,638.5894999476184,1228.337772897927,1129.9547137596112,26195,50388,46352
MG,1287.8414324058424,856.0551761501398,987.7336777051264,274602,182534,210611
RJ,87.50506728787883,200.4450837904702,106.2214922821732,15068,34516,18291
SP,1167.5901765724395,2162.840806753605,648.2416688298839,536778,994327,298017
DF,728.3475108888172,477.7026288563365,1393.112150992786,21725,14249,41554
GO,1434.6961110882949,1599.2146366436057,1387.6094945053271,105457,117550,101996
MT,665.0764311481677,1019.3413146025739,674.3615562406309,25514,39106,25871
MS,674.535636457084,492.9882025366183,1392.9449549346205,19574,14306,40421
AL,319.1862033577842,242.97351886771358,417.93681197874355,10278,7824,13458
BA,316.85116095484096,233.190597523466,343.547727947176,47054,34630,51018
CE,116.00107896777169,66.74495995952199,290.06062170823776,10711,6163,26783
MA,75.7650394967953,73.28525622739254,59.33852140077821,5311,5138,4160
PB,257.1280209761046,202.19346496053114,375.2195394978094,10658,8381,15553
PE,195.93322525661915,241.3662858137867,256.16234105169406,18690,23024,24435
PI,221.89907299380448,270.61486897619005,309.0075203383293,7490,9135,10431
RN,365.1990179042453,298.74602119341125,538.1549016256484,12585,10294,18545
SE,76.59250127635987,56.39269217053813,147.9391569990882,1754,1292,3389
AC,735.6100546549798,1309.6291182118277,1000.6007056303946,6478,11533,8811
AM,148.32824131199686,143.6510107308473,132.75222022564188,6350,6150,5683
AP,160.70891395016733,329.08298944866766,46.58479865775992,1290,2642,374
PA,119.84834668052768,212.91953446704213,58.252790240787895,10384,18448,5047
RO,212.34730287383667,151.1258272836235,356.42559644307414,3708,2639,6224
RR,59.30912726892941,67.10444995975128,69.55983108093969,425,481,498
TO,506.7921532825145,225.82293503881846,652.3125612581166,7993,3562,10289
