model_id,state,valid_test,WIS
108,RS,3,14829759.864659283
133,RS,3,315901.4717060958
134,RS,3,507207.6163076548
135,RS,3,55167.34042568522
136,RS,3,35990.40778943882
137,RS,3,20255.528843459146
138,RS,3,13209.177500494163
139,RS,3,76571.75074728712
143,RS,3,70554.57348945666
144,RS,3,13828.637056085923
145,RS,3,70632.26662991008
150,RS,3,13643.78309549462
152,RS,3,81405.0517233506
154,RS,3,24623.622599769078
155,RS,3,5156.2728304728535
156,RS,3,2952.6651207251653
157,RS,3,73941.259248721
108,RS,2,3325932.724496448
133,RS,2,186620.61285393528
134,RS,2,109493.2311273158
135,RS,2,191504.13376906855
136,RS,2,201443.6090755488
137,RS,2,44452.60773097852
138,RS,2,152479.89698704582
139,RS,2,212893.88845197935
143,RS,2,186091.6536017386
144,RS,2,185238.14680665903
145,RS,2,199741.32405554058
150,RS,2,199519.59177074343
152,RS,2,214616.19153812315
154,RS,2,190387.04715479154
155,RS,2,145502.12424489006
156,RS,2,143624.92617526298
157,RS,2,186145.0329568541
108,RS,1,1679390.456485708
133,RS,1,34313.31424332353
134,RS,1,205555.09921288182
135,RS,1,31999.584052667255
136,RS,1,29838.92259163699
137,RS,1,5247.227249068081
138,RS,1,2621.7611315631284
139,RS,1,29357.11980529596
143,RS,1,8873.929765790894
144,RS,1,15696.004863901031
145,RS,1,31616.52873547406
150,RS,1,8018.2741129719325
152,RS,1,25493.144301557968
154,RS,1,21303.640393805592
155,RS,1,10422.58271457925
156,RS,1,4540.629820559809
157,RS,1,1961.467695012877
108,RN,3,6333.331860303417
133,RN,3,9583.865593477276
134,RN,3,21988.04580322886
135,RN,3,4664.537413559039
136,RN,3,3855.5933268058548
137,RN,3,7318.665528515711
138,RN,3,385.6102807023669
139,RN,3,3497.001844948137
143,RN,3,7276.064008454396
144,RN,3,11792.35097937271
145,RN,3,9665.808192964407
150,RN,3,8424.786518032635
152,RN,3,1641.0662494841574
154,RN,3,10057.421982226871
155,RN,3,14568.171404287827
156,RN,3,2682.5789630151153
157,RN,3,4612.6263350128465
108,RN,2,2781.5051022402904
133,RN,2,12262.283625461085
134,RN,2,3494.025344682742
135,RN,2,10413.859718685106
136,RN,2,2588.028908387153
137,RN,2,5957.539074787364
138,RN,2,10678.687354587582
139,RN,2,1289.667783059592
143,RN,2,1076.5993940828837
144,RN,2,2744.083100108402
145,RN,2,451.594111951744
150,RN,2,2543.8324251992713
152,RN,2,2108.624485046274
154,RN,2,1601.6798548667023
155,RN,2,1777.550454254758
156,RN,2,18161.03655082872
157,RN,2,3080.0902673869637
108,RN,1,535825.9902014115
133,RN,1,17117.085869893424
134,RN,1,9985.098755592064
135,RN,1,3966.56693138014
136,RN,1,21879.444257717572
137,RN,1,11244.068173374179
138,RN,1,15381.044925409386
139,RN,1,4683.61040681709
143,RN,1,5218.162828830192
144,RN,1,16096.129414876095
145,RN,1,12189.40300652093
150,RN,1,23887.598014323314
152,RN,1,2686.836860653666
154,RN,1,12930.687697196652
155,RN,1,10319.175620995706
156,RN,1,15292.445536320052
157,RN,1,30981.82075411562
108,RJ,3,568335.0090562324
133,RJ,3,1848.254903927312
134,RJ,3,52529.73859413821
135,RJ,3,11126.330203299143
136,RJ,3,88499.24956741963
137,RJ,3,9764.006557940651
138,RJ,3,35143.48464031173
139,RJ,3,1615.0316574489466
143,RJ,3,4742.065026861634
144,RJ,3,10573.385955843765
145,RJ,3,30970.139734658605
150,RJ,3,41440.90646675218
152,RJ,3,3417.9925014971136
154,RJ,3,36235.866906859155
155,RJ,3,71409.91380453476
156,RJ,3,716.4415922520905
157,RJ,3,74007.08629175549
108,RJ,2,175780.86493727943
133,RJ,2,306687.8682536613
134,RJ,2,133575.8770708816
135,RJ,2,275184.25878056005
136,RJ,2,310433.0816694924
137,RJ,2,78803.80736444597
138,RJ,2,258082.92744920042
139,RJ,2,284827.58932489896
143,RJ,2,234709.46888114713
144,RJ,2,283332.246855587
145,RJ,2,254736.01658024944
150,RJ,2,285901.26861720154
152,RJ,2,275224.4591438615
154,RJ,2,193673.7502658367
155,RJ,2,139350.4657243967
156,RJ,2,78294.44800377503
157,RJ,2,230108.23036163428
108,RJ,1,6350.318709229788
133,RJ,1,7401.407251639321
134,RJ,1,35752.89586269223
135,RJ,1,29074.954928279414
136,RJ,1,38750.34683193223
137,RJ,1,5091.434873722588
138,RJ,1,36246.421474041614
139,RJ,1,6249.0441020106855
143,RJ,1,4658.400109117417
144,RJ,1,6855.267053282851
145,RJ,1,24682.637181957954
150,RJ,1,16540.487628881136
152,RJ,1,19750.196424153914
154,RJ,1,13768.267828860195
155,RJ,1,29579.2916939844
156,RJ,1,36100.97313690932
157,RJ,1,17680.750688514083
108,PI,3,40976.810156954256
133,PI,3,14977.282403488685
134,PI,3,25893.667468060765
135,PI,3,1897.3725501193428
136,PI,3,249.1392759206881
137,PI,3,11182.822168477038
138,PI,3,471.5988139954434
139,PI,3,636.4712722168616
143,PI,3,1240.720269899436
144,PI,3,397.7370626977772
145,PI,3,123.68377517123855
150,PI,3,240.65366022023161
152,PI,3,682.0502305059534
154,PI,3,366.4647880504107
155,PI,3,4213.010616274627
156,PI,3,1588.191575571937
157,PI,3,373.51453541649727
108,PI,2,2216.2362035006304
133,PI,2,12207.588605193521
134,PI,2,14820.386732212177
135,PI,2,4460.870925064144
136,PI,2,719.9781819089559
137,PI,2,10716.522366500612
138,PI,2,11928.485787880425
139,PI,2,6844.228982838894
143,PI,2,2082.6962418494836
144,PI,2,4958.101413601271
145,PI,2,6626.176863499989
150,PI,2,3608.2596560202983
152,PI,2,3158.5398702374846
154,PI,2,4901.118220089361
155,PI,2,907.1279510445275
156,PI,2,6422.65249964557
157,PI,2,5735.332433287703
108,PI,1,332891.2037532368
133,PI,1,3808.4830114882475
134,PI,1,4023.737072596493
135,PI,1,585.6961090207028
136,PI,1,393.6980833132501
137,PI,1,12327.826499908182
138,PI,1,10066.750226427335
139,PI,1,554.1759605575321
143,PI,1,854.3264759197968
144,PI,1,689.626146354186
145,PI,1,173.61483359951
150,PI,1,2215.481568967023
152,PI,1,1499.2565900938894
154,PI,1,335.08107285971874
155,PI,1,742.2514645269995
156,PI,1,3899.4964990461103
157,PI,1,3197.571790759712
108,PE,3,67138.71895294236
133,PE,3,51075.56772643522
134,PE,3,9869.871222534308
135,PE,3,4138.086660694879
136,PE,3,702.5246757565263
137,PE,3,8412.905606686652
138,PE,3,842.3200015288301
139,PE,3,1487.2149483389735
143,PE,3,3653.746300043274
144,PE,3,14765.579489615093
145,PE,3,5882.530678687735
150,PE,3,11485.387960938411
152,PE,3,2551.0137630546365
154,PE,3,7872.750914246129
155,PE,3,24606.642946783293
156,PE,3,8372.90961776063
157,PE,3,8929.41008999091
108,PE,2,4472.817338705386
133,PE,2,18794.4333083697
134,PE,2,8479.674713475248
135,PE,2,21233.564006543984
136,PE,2,3261.7414279044574
137,PE,2,13011.504712272803
138,PE,2,15846.199608282539
139,PE,2,2319.759043123539
143,PE,2,2259.8351621113025
144,PE,2,4407.489604603998
145,PE,2,936.2969839430144
150,PE,2,1743.8157637623997
152,PE,2,2338.6121201277533
154,PE,2,1356.152631401244
155,PE,2,22052.66504093528
156,PE,2,29734.23894038187
157,PE,2,9850.515868743416
108,PE,1,40017.882485869945
133,PE,1,2721.0118923523432
134,PE,1,822.3244212334979
135,PE,1,7125.475277836777
136,PE,1,13483.440046872483
