model,state,validation_test,WIS,WIS_peak
108,AC,1,134.3568627755698,167.21903697381225
108,AC,2,160.59452656857715,261.42876270494924
108,AC,3,125.10642788483213,232.8158884512239
108,AC,all,140.93230370709813,
108,AL,1,1310.1013662602736,842.8204199734761
108,AL,2,139.24970191325795,279.2524911244943
108,AL,3,688.7931481669436,1748.0353913737388
108,AL,all,714.1793259605593,
108,AM,1,40.049140100078425,55.193068724791296
108,AM,2,77.2179954987336,124.30452735111703
108,AM,3,38.8880142198291,65.53972948672761
108,AM,all,52.857657568645415,
108,AP,1,8.530335672317545,43.95707222586278
108,AP,2,121.38776253550853,445.4363465432798
108,AP,3,221.5820169281805,285.1307152437582
108,AP,all,110.77393084842664,
108,BA,1,580.6896611951262,1621.7812633928709
108,BA,2,1581.643148074818,6147.819375546689
108,BA,3,2279.282448978171,5984.69567432394
108,BA,all,1431.6357237285608,
108,CE,1,588.3515484649944,1437.1439427518878
108,CE,2,81.33572694681354,205.5420079082974
108,CE,3,76.86872700005205,176.38184457966426
108,CE,all,259.3815889960289,
108,DF,1,947.6029909269148,2574.744602815759
108,DF,2,3010.3985169305042,13032.464870576538
108,DF,3,763.193215204604,101.45585917599222
108,DF,all,1623.3563718529506,
108,ES,1,2493.8457778080224,6998.655191468304
108,ES,2,3038.4048822628106,5271.296165299124
108,ES,3,16322.091193801458,5964.715479127549
108,ES,all,6731.475888824123,
108,GO,1,1732.4728926843695,3985.6411389453037
108,GO,2,4633.49218814118,15063.528934925072
108,GO,3,3671.880926111602,5584.439099355258
108,GO,all,3325.9936328280787,
108,MA,1,203.79123464634299,354.7750474151473
108,MA,2,77.21387118449243,285.88298148666814
108,MA,3,129.3171885852501,265.6818621402447
108,MA,all,137.23064362155915,
108,MG,1,2785.398662969264,8991.877351685049
108,MG,2,11789.388234191738,38741.47292422329
108,MG,3,20585.65139095369,26871.731391457735
108,MG,all,11177.36005757402,
108,MS,1,1711.8046571545788,4184.419563050065
108,MS,2,1006.2197794563696,2352.084909457107
108,MS,3,657.6589713806125,1660.2306480913612
108,MS,all,1153.8544658036437,
108,MT,1,311.26875242623356,704.2614407665939
108,MT,2,343.20648529707796,827.2657919550069
108,MT,3,811.6413313019183,746.5393421834242
108,MT,all,468.9339429088074,
108,PA,1,33.92889311476019,46.61217778665
108,PA,2,137.4432879873742,554.9119205219373
108,PA,3,177.28961446969197,273.6703620224052
108,PA,all,112.4816791803248,
108,PB,1,1066.7882143609024,911.2880757560698
108,PB,2,126.07130330522412,340.7072156122754
108,PB,3,133.28849203385195,113.82204845123537
108,PB,all,460.9530617421375,
108,PE,1,271.24974636351294,187.67014208420835
108,PE,2,196.88103248602644,426.91668753438535
108,PE,3,420.8711630217102,657.025547492223
108,PE,all,288.7092551708135,
108,PI,1,2180.4753808890932,3564.757279907275
108,PI,2,97.53497663847726,237.4564161181719
108,PI,3,305.92865278593086,709.5385664223828
108,PI,all,895.316126947134,
108,PR,1,10643.65196939457,36721.35142161068
108,PR,2,9817.6894830772,36223.418224058994
108,PR,3,59773.78372749589,191793.78602662266
108,PR,all,24722.873849053438,
108,RJ,1,286.86695364273396,648.4308703903657
108,RJ,2,3608.927067035594,10175.614512021753
108,RJ,3,3640.9576754625414,2389.7733582562437
108,RJ,all,2443.146048436479,
108,RN,1,3215.4417563897296,3268.0193081914017
108,RN,2,153.2138768346857,674.7475315393509
108,RN,3,67.10249765677207,148.35576019820445
108,RN,all,1211.2619069857876,
108,RO,1,407.7880615399502,386.9075582508726
108,RO,2,67.00161787640103,151.68479685134503
108,RO,3,48.45751862516255,68.5714544484037
108,RO,all,182.12746007164802,
108,RR,1,1.9326764923459299,5.670364234386297
108,RR,2,5.483666308558922,14.607570312710555
108,RR,3,29.199024757739252,55.68712013194463
108,RR,all,11.164679525373062,
108,RS,1,8921.236508076765,39719.212357010074
108,RS,2,17769.9209496873,88991.02472883962
108,RS,3,94820.34845291633,377859.786223619
108,RS,all,37178.334498497505,
108,SC,1,21329.822345833287,95095.68015821198
108,SC,2,46826.91196429828,191441.9996948562
108,SC,3,61315.481070162234,238459.55773616873
108,SC,all,42045.68619145454,
108,SE,1,673.5179922421984,1030.299218879796
108,SE,2,197.74542586497233,106.33323431339687
108,SE,3,79.59235984178675,219.76843454823447
108,SE,all,331.48414431816127,
108,SP,1,11427.552994901962,36322.72736633193
108,SP,2,15551.009460569498,56126.24642335394
108,SP,3,275771.8252836309,619268.9973113859
108,SP,all,90211.38595156901,
108,TO,1,254.79152113496397,454.8764093416973
108,TO,2,31.125581235617293,76.70985932528316
108,TO,3,46.71819483710423,68.09739007781407
108,TO,all,114.8066102126919,
133,AC,1,22.025412707042992,59.541335840581475
133,AC,2,68.53238964060284,476.35744597116815
133,AC,3,88.94476720873945,236.9305918093039
133,AC,all,58.05190960580529,
133,AL,1,17.80317831080214,27.860458268056295
